N_07-25-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
10,11:43:05.818,36681,37143,35322,36215,35491,1186,1073,975,970,970,1492,1553,1506,1613,1737,1546,469,498,467,489,486,473,462,422,37.0
11,11:43:12.223,36516,36928,35026,36215,35195,1181,1069,973,969,973,1493,1552,1505,1613,1737,1543,470,497,467,491,489,475,463,422,37.0
12,11:43:25.480,36706,37079,35249,36207,35194,1184,1070,972,971,976,1493,1554,1505,1613,1737,1542,472,497,465,490,489,472,460,419,37.0
13,11:43:29.382,36724,37210,35283,36161,35201,1184,1072,974,969,973,1494,1553,1505,1612,1740,1546,472,495,465,493,490,475,462,418,37.0
14,11:43:33.260,36583,37283,35108,36096,35336,1182,1072,973,972,973,1492,1550,1504,1614,1735,1542,470,498,467,491,486,475,465,419,37.0
15,11:43:37.110,36582,36995,35196,36199,35309,1182,1071,972,972,974,1493,1551,1506,1613,1735,1542,471,497,467,493,489,476,462,418,37.0
16,11:43:40.858,36633,37070,35321,36103,35267,1184,1071,971,970,970,1492,1551,1505,1614,1735,1542,470,496,466,492,487,478,460,416,37.0
17,11:43:44.581,36611,37193,35181,36180,35369,1181,1071,970,972,971,1491,1550,1506,1614,1737,1544,472,500,468,492,485,475,462,418,37.0
18,11:43:48.339,36621,37337,35102,36074,35350,1182,1071,972,973,971,1495,1551,1504,1613,1736,1546,470,496,470,493,487,476,462,420,37.0
19,11:43:52.119,36602,37139,35245,36038,35280,1182,1071,972,972,970,1493,1550,1506,1613,1737,1543,473,498,470,492,488,472,461,420,37.0
20,11:43:55.878,36524,37259,35177,36184,35215,1182,1069,974,971,974,1495,1552,1505,1612,1738,1544,471,498,468,492,484,472,461,424,37.0
21,11:44:02.298,36459,36985,34990,36126,35378,1183,1073,974,972,972,1493,1552,1506,1612,1736,1544,470,496,470,491,485,476,462,421,37.0
22,11:44:06.117,36480,36970,35109,36022,35161,1181,1074,975,972,972,1491,1553,1504,1612,1734,1544,472,497,469,491,487,475,462,450,37.0
23,11:44:09.838,36560,37041,35170,36109,35337,1181,1074,974,971,972,1493,1548,1506,1614,1737,1546,470,497,469,490,488,474,465,420,37.0
24,11:44:13.498,36556,37124,35204,36151,35345,1183,1074,974,971,971,1493,1552,1504,1612,1736,1543,473,499,467,492,485,475,461,450,37.0
25,11:44:17.739,36615,37096,35170,36161,35417,1184,1072,974,971,971,1495,1549,1504,1611,1738,1544,471,496,466,489,486,508,464,417,37.0
26,11:44:21.581,36528,37160,35052,36132,35481,1183,1071,973,970,972,1494,1551,1504,1613,1736,1545,469,500,467,490,487,473,461,420,37.0
27,11:44:25.601,36579,37136,35144,36105,35455,1182,1070,975,970,974,1494,1552,1506,1613,1737,1544,472,498,465,494,488,474,462,418,37.0
28,11:44:30.455,36624,37229,35118,36154,35420,1185,1074,977,971,972,1495,1550,1505,1614,1737,1544,473,496,471,492,489,475,462,421,37.0
29,11:44:34.478,36628,36928,35161,36141,35310,1184,1071,973,971,972,1494,1552,1506,1614,1737,1544,474,497,465,492,489,472,461,416,37.0
30,11:44:38.302,36549,37105,35166,36153,35273,1182,1072,974,971,972,1495,1551,1505,1611,1736,1543,470,500,466,490,488,474,461,419,37.0
31,11:44:44.852,36560,36873,34880,36072,35194,1184,1074,972,970,973,1494,1549,1505,1612,1738,1544,470,499,466,491,485,474,463,418,37.0
32,11:44:48.601,36484,36903,35196,36092,35339,1183,1075,973,972,973,1492,1550,1506,1615,1736,1546,473,498,467,492,488,473,461,420,37.0
33,11:44:52.340,36469,37125,35207,36246,35529,1184,1073,972,971,972,1493,1554,1503,1611,1736,1543,468,494,466,493,488,478,465,420,37.0
34,11:44:56.220,36467,37185,35220,36038,35318,1183,1072,971,970,972,1494,1549,1505,1612,1737,1546,472,498,465,491,487,471,461,423,37.0
35,11:45:00.023,36538,37167,35285,36085,35535,1185,1073,975,970,974,1494,1548,1504,1611,1736,1544,470,495,469,491,488,472,463,417,37.0
N_07-25-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,11:47:34.313,36479,36831,34985,36123,35147,1182,1072,974,971,977,1494,1553,1505,1613,1736,1542,472,496,470,488,486,473,464,449,38.0
2,11:47:38.233,36480,37174,35151,36062,35352,1183,1073,973,971,975,1495,1553,1504,1613,1737,1541,470,500,470,492,488,479,464,418,38.0
3,11:47:42.161,36520,37259,35177,36083,35430,1181,1073,974,971,974,1493,1552,1507,1611,1736,1545,471,499,469,489,488,474,465,419,38.0
4,11:47:46.154,36462,37206,35209,36114,35319,1183,1072,975,971,972,1493,1554,1504,1615,1738,1546,473,497,470,492,490,474,463,420,38.0
5,11:47:50.114,36287,37076,35157,36140,35286,1180,1070,974,970,972,1492,1553,1503,1613,1737,1543,471,495,469,489,487,473,463,418,38.0
6,11:47:54.291,36371,37116,35369,36206,35286,1184,1073,973,971,973,1493,1554,1505,1612,1739,1543,473,496,468,490,487,475,461,420,38.0
