N_08-06-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,15:16:34.372,39740,38838,40571,39835,40690,1035,0,936,1131,1118,1536,1564,1530,1501,1584,1599,390,365,374,410,329,320,319,344,27.0
N_08-08-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
156,17:18:43.481,40451,39658,40993,40858,41562,1034,1958,937,1133,1117,1533,1563,1532,1502,1583,1600,33.0
157,17:18:45.752,40447,39920,41162,40582,41697,1034,1959,935,1134,1118,1535,1560,1530,1499,1585,1601,33.0
158,17:18:47.959,40585,39701,41127,40894,41615,1033,1960,935,1136,1119,1535,1563,1532,1502,1584,1600,33.0
159,17:18:50.270,40508,39572,41216,40731,41432,1034,1959,938,1134,1116,1533,1562,1532,1499,1581,1603,33.0
160,17:18:52.556,40554,39711,41263,40846,41637,1036,1959,936,1131,1118,1537,1563,1531,1503,1581,1601,33.0
161,17:18:57.493,40393,39593,41253,40688,41597,1035,1959,938,1135,1120,1533,1560,1534,1504,1584,1601,33.0
162,17:18:59.883,40359,39631,41264,40724,41663,1033,1962,936,1132,1119,1532,1563,1531,1500,1585,1600,33.0
163,17:19:02.190,40529,39590,41347,40727,41488,1035,1959,936,1133,1114,1536,1561,1530,1503,1585,1602,33.0
164,17:19:04.437,40516,39711,41156,40679,41603,1034,1959,933,1132,1118,1533,1564,1531,1503,1584,1601,33.0
165,17:19:06.730,40502,39682,41209,40762,41496,1033,1960,935,1132,1118,1536,1562,1531,1501,1587,1598,33.0
166,17:19:09.083,40447,39784,41327,40832,41617,1032,1961,933,1132,1114,1534,1562,1532,1501,1582,1601,33.0
167,17:19:11.379,40606,39617,41127,40776,41651,1033,1962,934,1133,1116,1536,1564,1530,1501,1585,1601,33.0
168,17:19:13.699,40406,39518,41279,40706,41586,1033,1962,934,1134,1114,1533,1561,1529,1500,1585,1602,33.0
169,17:19:15.964,40393,39795,41359,40634,41651,1034,1960,936,1133,1114,1532,1563,1528,1500,1583,1602,33.0
170,17:19:18.208,40389,39710,41237,40644,41678,1036,1962,934,1133,1117,1535,1562,1532,1501,1583,1601,33.0
171,17:19:23.000,40573,39720,41207,40554,41615,1036,1961,934,1134,1118,1534,1562,1529,1503,1584,1602,33.0
172,17:19:25.197,40450,39659,41129,40664,41600,1034,1959,935,1132,1113,1533,1562,1529,1505,1584,1600,33.0
173,17:19:27.536,40597,39622,41160,40795,41595,1036,1958,936,1132,1115,1536,1562,1530,1501,1585,1602,33.0
174,17:19:29.931,40571,39728,41231,40777,41486,1035,1958,938,1131,1114,1533,1562,1533,1501,1583,1597,33.0
175,17:19:32.319,40567,39767,41177,40714,41518,1032,1959,935,1134,1116,1534,1563,1532,1501,1585,1600,34.0
